,Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
30,1061 Madison Avenue,,Bandier,Babka Associates,Manhattan,3250,,,Upper East Side,12/01/2019,Adam Henick,"William Abramson, Matthew Olden",Retail Leasing,01/10/2020,Current Real Estate Advisors,Buchbinder & Warren Realty Group,,,
31,1359 Fulton Street,,A.S. Digital Photo Call Corp & Shipping store,Bawabeh Brothers #2,Brooklyn,1000,,,Bedford-Stuyvesant,11/29/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,11/29/2019,Augenbaum Realty,Augenbaum Realty,,,
32,228 East 58th Street,,Ferrell Mittman,228E58STR,Manhattan,3700,,,Midtown East,11/26/2019,Dean Valentino,"Jedd Horn, Nicole Mendelson, Michael Thomas",Retail Leasing,11/29/2019,ABS Partners Real Estate,Colliers International,,,
33,203 East Fordham Road,,Snipes,Fordham Chera Acquisitions,Bronx,6866,,,Fordham,11/25/2019,"Joe Mastromonaco, Fritz Kemerling, Evan Clements","David Alani, Michael Friedman",Retail Leasing,11/29/2019,Dartmouth Company,Inline Realty,,,
34,845 Dean Street,,Brooklyn Strength,845-855 Dean Realty,Brooklyn,3500,,,Crown Heights,11/25/2019,Etienne Douyan,,Retail Leasing,11/29/2019,Norman Bobrow & Company,,,,
35,80 Maiden Lane,,Five Guys,Maiden Lane Asset,Manhattan,3200,,,Financial District,11/25/2019,"Stephen Sjurset, Robert Bonicoro","Lee Block, Manu Wendum",Retail Leasing,12/13/2019,CBRE,Winick Realty Group,,,
36,125 Kent Avenue,,Brooklinen,L3 Capital,Brooklyn,2500,,,Williamsburg,11/25/2019,Tess Jacoby,"Joe Mastromonaco, Fritz Kemerling, Evan Clements",Retail Leasing,11/29/2019,JLL,Dartmouth Company,,,
37,162 Flatbush Avenue,,Snipes,162-170 Flatbush Associates,Brooklyn,2500,,,Park Slope,11/25/2019,"Joe Mastromonaco, Fritz Kemerling, Evan Clements","David Alani, Michael Friedman",Retail Leasing,11/29/2019,Dartmouth Company,Inline Realty,,,
38,1602 Second Avenue,,Dunkin,Equity Residential,Manhattan,1553,,,Yorkville,11/25/2019,Louis Franco,Hal Shapiro,Retail Leasing,12/13/2019,Isa Realty,Winick Realty Group,,,
39,314 West 23rd Street,,USA Vein Clinics,Chelsea London Company,Manhattan,2467,,,Chelsea,11/19/2019,Denis Abayev,"William Abramson, Matthew Olden",Retail Leasing,12/06/2019,Commercial Acquisitions Realty,Buchbinder & Warren Realty,,,
40,22-28 31st Street,,Starbucks,22-28 31st Realty,Queens,2830,,,Astoria,11/15/2019,"Richard Senior, Chris Walther, Scott Rothstein, Doug Weinstein",Richard Senior,Retail Leasing,11/15/2019,RIPCO Real Estate,RIPCO Real Estate,,,
41,6715 18th Avenue,,Shoe Show,Harman Realty Brooklyn,Brooklyn,2300,,,Bensonhurst,11/15/2019,,"Richard Senior, Jesse Wang",Retail Leasing,11/15/2019,Gluck & Associates,RIPCO Real Estate,,,
42,22-22 Jackson Avenue,,Bootoo Onezo,2222 Jackson Owner,Queens,1134,,,Long Island City,11/15/2019,"Thomas Galo, Steven Baker","Thomas Galo, Steven Baker",Retail Leasing,12/13/2019,Winick Realty Group,Winick Realty Group,,,
43,280 Park Avenue,,Fasano Hotel and Restaurant Group,"Vornado Realty Trust, SL Green Realty",Manhattan,20000,,,Plaza District,11/14/2019,,,Retail Leasing,11/15/2019,,,,,
44,1519 Decatur Street,,Pirate Studios,"Hornig Capital Partners, Brickman",Queens,13832,,,Ridgewood,11/14/2019,Ben Waller,Ben Waller,Retail Leasing,11/15/2019,ABS Partners Real Estate,ABS Partners Real Estate,,,
45,140 Church Street,,CVS,Warren Street Associates,Manhattan,12000,,,Tribeca,11/12/2019,"Andrew Mandell, Ben Sabin","Andrew Mandell, Ben Sabin",Retail Leasing,11/15/2019,Ripco Real Estate,Ripco Real Estate,,,
46,228 East 58th Street,,Ferrell Mittman,228E58STR LLC,Manhattan,3700,,,Midtown East,11/12/2019,Dean Valentino,"Jedd Horn, Nicole Mendelson, Michael Thomas",Retail Leasing,11/15/2019,ABS Partners Real Estate,Colliers International,,,
47,1345 Sixth Avenue,,Blue Bottle Coffee,Fisher Brothers,Manhattan,935,,,Midtown West,11/12/2019,"Mark Frankel, Jeffery Roseman, Drew Weiss","Marc Packman, Clark Briffel, Eric Gelber, Jordan Kaplan",Retail Leasing,11/15/2019,Newmark Knight Frank,"Fisher Brothers, CBRE",,,
48,519 Fulton Street,,American Standard Hospitality Group,Thor Equities,Brooklyn,4200,,,Brooklyn Heights,11/11/2019,"Michael Balanevsky, Stan Gutgarts",Sam Sabin,Retail Leasing,11/15/2019,Accent Holdings,Thor Equities,,,
49,546 Sixth Avenue,,Landsea Development,15th Street Owners,Manhattan,2275,,,Flatiron,11/11/2019,Rachel Rainaldi,"Daniel Rodriguez Sains, William Abramson",Retail Leasing,11/15/2019,Compass,Buchbinder & Warren Realty Group,,,
50,344 West 38th Street,,Culture Objects,Karma Properties,Manhattan,1500,,,Hudson Yards,11/11/2019,Lisa Rosenthal,Michael Segerman,Retail Leasing,11/15/2019,Compass,Dynamik Real Estate Group,,,
51,597 Fifth Avenue,,Club Monaco,Thor Equities,Manhattan,13000,,,Plaza District,11/08/2019,"Robert Cohen, Peter Whitenack",,Retail Leasing,11/08/2019,Newmark Knight Frank,Thor Equities,,,
52,541 West 25th Street,,LAVAN 541,L&L Holdings,Manhattan,5654,,,Chelsea,11/08/2019,Ken Lerner,Harrison Abramowitz,Retail Leasing,11/08/2019,Okada & Company,Newmark Knight Frank,,,
53,445 Fifth Avenue,,Nirvanna Designs,445 Fifth Avenue,Manhattan,18371,,,Garment District,11/06/2019,Patty Holmstrom,Richard Gelber,Retail Leasing,12/13/2019,Winick Realty Group,RKF,,,
54,2 Bank Street,,Quality Branded,Sky Management,Manhattan,5600,,,West Village,11/06/2019,Taryn Brandes,"Brad Schwarz, James Ficelman",Retail Leasing,11/08/2019,Brand Urban,Lee & Associates NYC,,,
55,1634 Broadway,,Paul Gifts,The Shubert Organization,Manhattan,1860,,,Midtown West,11/06/2019,Richard Smith,Jeff Roseman,Retail Leasing,12/13/2019,Winick Realty Group,Newmark Knight Frank,,,
56,833 Seventh Avenue,,NYC Souvenirs and Gifts,W 54-7,Manhattan,1445,,,Midtown West,11/05/2019,"Peter Botsaris, Nicholas Kalomeris",Josh Augenbaum,Retail Leasing,11/08/2019,Botsaris Morris Realty Group,Augenbaum Realty,,,
57,240 West 40th Street,,PF Chang's To Go,240 W 40 LLC,Manhattan,3800,,,Garment District,11/04/2019,"Ariel Schuster, Mitch Heifetz","Richard Smith, Aaron Noorani",Retail Leasing,12/13/2019,RKF,Winick Realty Group,,,
58,452 Amsterdam Avenue,,Vaness'a Dumplings,Hubb NYC,Manhattan,800,,,Upper West Side,11/04/2019,"Ben Biberaj, Isaac Bijou, James Famularo","Ben Biberaj, Isaac Bijou, James Famularo",Retail Leasing,11/08/2019,Meridian Capital,Meridian Capital,,,
59,470 Third Avenue,,Natural ReLeaf,Murray Hill 32,Manhattan,393,,,Kips Bay,11/04/2019,Andi Dhamo,"Yoel Gorjian, Kenneth Hochhauser",Retail Leasing,12/13/2019,Sido New York,Winick Realty Group,,,
60,285 Lafayette Street,,New York Public Library,Kushner Companies,Manhattan,16000,,,Central Harlem,11/01/2019,,,Retail Leasing,11/01/2019,,,,,
61,135 West 50th Street,,Urbanspace,UB Realty Investors,Manhattan,15000,,,Midtown West,11/01/2019,Byrnam Wood,George Comfort & Sons,Retail Leasing,11/01/2019,"Gordon Ogden, Benjamin Mohr","Peter Duncan, Alexander Birmingham, Matt Coudert, Andrew Conrad",,,
62,87 Richardson Street,,Talea Beer,KND Management,Brooklyn,10000,,,Greenpoint,11/01/2019,"David Green, Josh Berkun",Josh Dolgin,Retail Leasing,11/29/2019,Kassin Sabbagh Realty,KND Management,,,
63,1406 Saint Nicholas Avenue,,Popeye's,Milbrook Properties,Manhattan,2413,,,Washington Heights,11/01/2019,"Louis Franco, Joseph Isa","Louis Franco, Joseph Isa",Retail Leasing,11/08/2019,Isa Realty Group,Isa Realty Group,,,
64,1501 First Avenue,,Eastside Cutz Salon,1501 First Equities,Manhattan,900,,,Upper East Side,11/01/2019,"Louis Franco, Jack Hurley","Louis Franco, Jack Hurley",Retail Leasing,11/08/2019,Isa Realty Group,Isa Realty Group,,,
65,384 Fifth Avenue,,5th Ave Gifts & Luggage,JD 384,Manhattan,3500,,,Garment District,10/30/2019,Ryan Magner,Tony Park,Retail Leasing,11/08/2019,Magner Real Estate,PD Properties,,,
66,22-18 Jackson Avenue,,F45 Training,22-12 Jackson Owner,Queens,2300,,,Long Island City,10/30/2019,Michael Azarian,"Steven Baker, Thomas Galo",Retail Leasing,11/15/2019,Cushman & Wakefield,Winick Realty Group,,,
67,10 West 33rd Street,,Genesis International,Ten West Thirty Third Associates,Manhattan,507,,,Garment District,10/29/2019,David Levy,David Levy,Retail Leasing,11/01/2019,Adams & Company,Adams & Company,,,
68,1277 Bay Ridge Avenue,,RISOL,Ramo,Brooklyn,420,,,Dyker Heights,10/25/2019,Zjama Rogatsky,Zjama Rogatsky,Retail Leasing,11/08/2019,Zjama Realty,Zjama Realty,,,
69,428 Utica Avenue,,99 Cent Store,Urban Scape,Brooklyn,4500,,,Crown Heights,10/24/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,10/25/2019,Augenbaum Realty,Augenbaum Realty,,,
70,207 West 79th Street,,My Gym,Anbau Enterprises,Manhattan,3262,,,Upper West Side,10/24/2019,Michael Watson,"Barry Fishbach, David Abrams, Brandon Miller",Retail Leasing,11/01/2019,Lee & Associates,Newmark Knight Frank,,,
71,40 East 58th Street,,The Lash Loft,Zurich Holdings,Manhattan,1450,,,Plaza District,10/24/2019,"Dorel Melloul, Marc Sitt","William Abramson, Matthew Olden",Retail Leasing,11/01/2019,Kassin Sabbagh Realty,Buchbinder & Warren Realty Group,,,
72,1143 Second Avenue,,Festival,Stonehenge Partners,Manhattan,1300,,,Upper East Side,10/24/2019,Tom Brady,Andrew Taub,Retail Leasing,10/25/2019,Douglas Elliman,Newmark Knight Frank,,,
73,2181 Nostrand Avenue,,Mister Pizza,1584 Flatbush Ave Partners,Brooklyn,1144,,,East Flatbush,10/24/2019,"Jack Khaski, Albert Manopla",Josh Augenbaum,Retail Leasing,10/25/2019,Kassin Sabbagh Realty,Augenbaum Realty,,,
74,120 Ninth Avenue,,Jet's Pizza,Stonehenge Partners,Manhattan,1000,,,Chelsea,10/24/2019,John Roesch,Steven Dweck,Retail Leasing,10/25/2019,Meridian Capital Group,Meridian Capital Group,,,
75,7 East 14th Street,,QQ Nails,Victoria Retail,Manhattan,2282,,,Flatiron,10/23/2019,"Manu Wendum, Lee Block","Steven Baker, Daniyel Cohen",Retail Leasing,11/15/2019,Winick Realty Group,Winick Realty Group,,,
76,138 Court Street,,Shen Beauty,Two Trees Management,Brooklyn,1750,,,Cobble Hill,10/23/2019,,,Retail Leasing,10/25/2019,,,,,
77,747 Third Avenue,,Bridges,William Kaufman Organization,Manhattan,498,,,Midtown East,10/23/2019,,,Retail Leasing,10/25/2019,,,,,
78,777 Third Avenue,,Bridges,William Kaufman Organization,Manhattan,129,,,Midtown East,10/23/2019,,,Retail Leasing,10/25/2019,,,,,
79,207 West 79th Street,,My Gym,Anbau Enterprises,Manhattan,3262,,,Upper West Side,10/22/2019,"Gregory Tannor, Michael Watson","Barry Fishbach, David Abrams, Brandon Miller",Retail Leasing,10/25/2019,Lee & Associates NYC,RKF,,,
80,129 Grand Street,,Local Locker,Twenty Nine Great Jones Street Corporation,Manhattan,2521,,,Soho,10/21/2019,,"Jeff Yi, Douglas Schubert",Retail Leasing,10/25/2019,,Halstead Property,,,
81,86-55 Broadway,,Kennedy Fried Chicken,Pi Capital Partners,Queens,1000,,,Elmhurst,10/21/2019,,,Retail Leasing,11/01/2019,,Pi Capital Partners,,,
82,1601 Broadway,,BenMoha Restaurant Group,Vornado Realty Trust,Manhattan,6400,,,Times Square,10/18/2019,Marc Leber,"Ed Hogan, Jason Morrison",Retail Leasing,11/01/2019,Newmark Knight Frank,Vornado Realty Trust,,,
83,111 Third Avenue,,Dr. Mahyar Eidgah,111 Realty Co,Manhattan,1977,,,East Village,10/18/2019,"Ephraim Setton, Mark Eidgah",Michael Shkreli,Retail Leasing,11/15/2019,R New York,Winick Realty Group,,,
84,260 Elizabeth Street,,Arabica Coffee,260 Elizabeth Street,Manhattan,800,,,Nolita,10/18/2019,"Yoel Gorjian, Kenneth Hochhauser",Preston Cannon,Retail Leasing,11/15/2019,Winick Realty Group,CBRE,,,
85,645 East Tremont Avenue,,AT&T,645 East Tremont,Bronx,1395,,,Tremont,10/15/2019,"Daniel DePasquale, Steven Baker",,Retail Leasing,11/15/2019,Winick Realty Group,,,,
86,155 West 56th Street,,Ines,Carnegie Hall Tower,Manhattan,700,,,Midtown West,10/15/2019,"Steven Baker, Daniyel Cohen","Steven Baker, Daniyel Cohen",Retail Leasing,11/15/2019,Winick Realty Group,Winick Realty Group,,,
87,4041 Broadway,,Prestige Gourmet,"BLDG Management Corp., Inc.",Manhattan,1300,,,Washington Heights,10/14/2019,"Steve Lorenzo, Mitchell Salmon, Christopher Ventura","Cory Zelnik, Sean Philippes",Retail Leasing,11/08/2019,Lee & Associates NYC,Zelnik & Co,,,
88,630 Lexington Avenue,,Little Collins Cafe,Boston Properties,Manhattan,1650,,,Plaza District,10/11/2019,"Ross Kaplan, Derek Koelsch","Steven Soutendijk, Molly Sandza",Retail Leasing,10/11/2019,Newmark Knight Frank,Cushman & Wakefield,,,
89,630 Lexington Avenue,,Little Collins Cafe,Boston Properties,Manhattan,1650,,,Plaza District,10/11/2019,"Ross Kaplan, Derek Koelsch","Steven Soutendijk, Molly Sandza",Retail Leasing,10/11/2019,Newmark Knight Frank,Cushman & Wakefield,,,
90,197 Franklin Avenue,,Sterling Harper,Cushman & Wakefield,Brooklyn,700,,,Bedford-Stuyvesant,10/11/2019,"Jaime Schultz, Jeffrey Lopez",Adam Malitz,Retail Leasing,11/08/2019,Lee & Associates NYC,Cushman & Wakefield,,,
91,2043 Broadway,,Chuck Roopani,Howjo Associates,Manhattan,650,,,Upper West Side,10/11/2019,Brad Schwarz,Brad Schwarz,Retail Leasing,11/08/2019,Lee & Associates NYC,Lee & Associates NYC,,,
92,25 Kent Avenue,,Smorgasburg,Rubenstein Partners,Brooklyn,25000,,,Williamsburg,10/10/2019,"Jonathan Butler, Eric Demby","Brad Schwarz, Greg Tannor, Jaime Schultz, Jeffrey Lopez",Retail Leasing,11/08/2019,Smorgasburg,Lee & Associates NYC,,,
93,875 Third Avenue,,Dor Leasing,Suttons of London,Manhattan,2555,,,Midtown East,10/10/2019,Robert Elbaz,"Alexander Karas, Jason Stein",Retail Leasing,10/11/2019,Sholom & Zuckerbrot Realty,Winick Realty Group,,,
94,875 Third Avenue,,Dor Leasing,Suttons of London,Manhattan,2555,,,Midtown East,10/10/2019,Robert Elbaz,"Alexander Karas, Jason Stein",Retail Leasing,10/11/2019,Sholom & Zuckerbrot Realty,Winick Realty Group,,,
95,1419 Saint Nicholas Avenue,,Elmundo Stores,181 Washington Heights,Manhattan,2500,,,Washington Heights,10/10/2019,Richard Smith,,Retail Leasing,10/11/2019,Winick Realty Group,,,,
96,1419 Saint Nicholas Avenue,,Elmundo Stores,181 Washington Heights,Manhattan,2500,,,Washington Heights,10/10/2019,Richard Smith,,Retail Leasing,10/11/2019,Winick Realty Group,,,,
97,1646 Second Avenue,,Medrite,85th and Second Avenue,Manhattan,2350,,,Yorkville,10/10/2019,"Lee Block, Manu Wendum","Mitch Heifetz, Andrew Stern",Retail Leasing,10/11/2019,Winick Realty Group,RKF,,,
98,1646 Second Avenue,,Medrite,85th and Second Avenue,Manhattan,2350,,,Yorkville,10/10/2019,"Lee Block, Manu Wendum","Mitch Heifetz, Andrew Stern",Retail Leasing,10/11/2019,Winick Realty Group,RKF,,,
99,606 West 57th Street,,Solidcore New York,606 West 57 LLC,Manhattan,2144,,,Hell's Kitchen,10/10/2019,Sean Young,"Steven Baker, Daniyel Cohen",Retail Leasing,10/11/2019,Sabre Real Estate,Winick Realty Group,,,
100,606 West 57th Street,,Solidcore New York,606 West 57 LLC,Manhattan,2144,,,Hell's Kitchen,10/10/2019,Sean Young,"Steven Baker, Daniyel Cohen",Retail Leasing,10/11/2019,Sabre Real Estate,Winick Realty Group,,,
101,300 Livingston Street,,Honey 300,33 Bond St LLC,Brooklyn,1835,,,Brooklyn Heights,10/10/2019,Eddie Mamiye,"Steven Baker, Daniyel Cohen",Retail Leasing,10/11/2019,JTRE,Winick Realty Group,,,
102,300 Livingston Street,,Honey 300,33 Bond St LLC,Brooklyn,1835,,,Brooklyn Heights,10/10/2019,Eddie Mamiye,"Steven Baker, Daniyel Cohen",Retail Leasing,10/11/2019,JTRE,Winick Realty Group,,,
103,237 First Avenue,,New Cingular Wireless,237 First Owners,Manhattan,1579,,,East Village,10/10/2019,"Steven Baker, Daniel DePasquale","David Tricarico, Jake Horowitz",Retail Leasing,10/11/2019,Winick Realty Group,Colliers International,,,
104,237 First Avenue,,New Cingular Wireless,237 First Owners,Manhattan,1579,,,East Village,10/10/2019,"Steven Baker, Daniel DePasquale","David Tricarico, Jake Horowitz",Retail Leasing,10/11/2019,Winick Realty Group,Colliers International,,,
105,940 Columbus Avenue,,Mighty Catch,Walter & Samuels,Manhattan,1360,,,Upper West Side,10/10/2019,Anton Marchuk,Michael Shkreli,Retail Leasing,10/11/2019,Harvest International Commercial Real Estate,Winick Realty Group,,,
106,940 Columbus Avenue,,Mighty Catch,Walter & Samuels,Manhattan,1360,,,Upper West Side,10/10/2019,Anton Marchuk,Michael Shkreli,Retail Leasing,10/11/2019,Harvest International Commercial Real Estate,Winick Realty Group,,,
107,32 Jones Street,,Te Company,277 Bleecker LLC,Manhattan,1050,,,West Village,10/10/2019,Michael Shkreli,Steve Rappaport,Retail Leasing,10/11/2019,Winick Realty Group,Sinvin Real Estate,,,
108,32 Jones Street,,Te Company,277 Bleecker LLC,Manhattan,1050,,,West Village,10/10/2019,Michael Shkreli,Steve Rappaport,Retail Leasing,10/11/2019,Winick Realty Group,Sinvin Real Estate,,,
109,1406 Second Avenue,,QQ Nails and Spa,300 E. 74 Owners,Manhattan,1044,,,Upper East Side,10/10/2019,"Hal Shapiro, Alexander Karas","Hal Shapiro, Alexander Karas",Retail Leasing,10/11/2019,Winick Realty Group,Winick Realty Group,,,
110,1406 Second Avenue,,QQ Nails and Spa,300 E. 74 Owners,Manhattan,1044,,,Upper East Side,10/10/2019,"Hal Shapiro, Alexander Karas","Hal Shapiro, Alexander Karas",Retail Leasing,10/11/2019,Winick Realty Group,Winick Realty Group,,,
111,997 First Avenue,,Frandes,Stalh Associates,Manhattan,600,,,Midtown East,10/10/2019,"Hal Shapiro, Steven Baker","Hal Shapiro, Steven Baker",Retail Leasing,10/11/2019,Winick Realty Group,Winick Realty Group,,,
112,997 First Avenue,,Frandes,Stalh Associates,Manhattan,600,,,Midtown East,10/10/2019,"Hal Shapiro, Steven Baker","Hal Shapiro, Steven Baker",Retail Leasing,10/11/2019,Winick Realty Group,Winick Realty Group,,,
113,190 Bowery,,Supreme,RFR Realty,Manhattan,8000,,,Nolita,10/09/2019,"Chris DeCrosta, Tabatha McGurr",,Retail Leasing,10/11/2019,GoodSpace,RFR Realty,,,
114,190 Bowery,,Supreme,RFR Realty,Manhattan,8000,,,Nolita,10/09/2019,"Chris DeCrosta, Tabatha McGurr",,Retail Leasing,10/11/2019,GoodSpace,RFR Realty,,,
115,40 East 58th Street,,The Lash Loft,Zurich Holdings,Manhattan,1450,,,Plaza District,10/08/2019,"Dorel Melloul, Marc Sitt","William Abramson, Matthew Olden",Retail Leasing,10/11/2019,Kassin Sabbagh Realty,Buchbinder & Warren Realty Group,,,
116,40 East 58th Street,,The Lash Loft,Zurich Holdings,Manhattan,1450,,,Plaza District,10/08/2019,"Dorel Melloul, Marc Sitt","William Abramson, Matthew Olden",Retail Leasing,10/11/2019,Kassin Sabbagh Realty,Buchbinder & Warren Realty Group,,,
117,265 Lafayette Street,,Safire Homme,Gilman Management,Manhattan,800,,,Nolita,10/08/2019,David Firestein,Brian Teppel,Retail Leasing,10/11/2019,SCG Retail,Gilman Management,,,
118,265 Lafayette Street,,Safire Homme,Gilman Management,Manhattan,800,,,Nolita,10/08/2019,David Firestein,Brian Teppel,Retail Leasing,10/11/2019,SCG Retail,Gilman Management,,,
119,133 Beach 116th Street,,Orangetheory Fitness,Marcal Group,Queens,3100,,,Rockaway Park,10/07/2019,,,Retail Leasing,10/11/2019,,,,,
120,133 Beach 116th Street,,Orangetheory Fitness,Marcal Group,Queens,3100,,,Rockaway Park,10/07/2019,,,Retail Leasing,10/11/2019,,,,,
121,5 West 30th Street,,Sugaring NYC,Harvey Axelrod,Manhattan,2000,,,Nomad,10/07/2019,David Yablon,,Retail Leasing,10/11/2019,Katz & Associates,,,,
122,5 West 30th Street,,Sugaring NYC,Harvey Axelrod,Manhattan,2000,,,Nomad,10/07/2019,David Yablon,,Retail Leasing,10/11/2019,Katz & Associates,,,,
